move_name,move_id,Unnamed: 0,accuracy,damage_class,effect_chance,effect,power,pp,priority,short_effect,target,move_type,type_name,type_id
defog,432,431,,status,,Lowers the target's evasion by one stage.  Removes field effects from the enemy field.,,15.0,0,Lowers the target's evasion by one stage.  Removes field effects from the enemy field.,selected-pokemon,flying,flying,3
ominous-wind,466,465,100.0,special,10.0,Has a 10% chance to raise all of the user's stats by one stage.,60.0,5.0,0,Has a 10% chance to raise all of the user's stats by one stage.,selected-pokemon,ghost,ghost,17
sky-drop,507,506,100.0,physical,,"Carries the target high into the air, dodging all attacks against either, and drops it next turn.",60.0,10.0,0,"Carries the target high into the air, dodging all attacks against either, and drops it next turn.",selected-pokemon,flying,flying,3
heat-crash,535,534,100.0,physical,,"Power is higher when the user weighs more than the target, up to a maximum of 120.",,10.0,0,"Power is higher when the user weighs more than the target, up to a maximum of 120.",selected-pokemon,fire,fire,14
hurricane,542,541,70.0,special,30.0,Has a 30% chance to confuse the target.,110.0,10.0,0,Has a 30% chance to confuse the target.,selected-pokemon,flying,flying,3
mystical-fire,595,594,100.0,special,100.0,Has a 100% chance to lower the target's Special Attack by one stage.,75.0,10.0,0,Has a 100% chance to lower the target's Special Attack by one stage.,selected-pokemon,fire,fire,14
brutal-swing,693,692,100.0,physical,,Inflicts regular damage with no additional effect.,60.0,20.0,0,Inflicts regular damage with no additional effect.,all-other-pokemon,dark,dark,16
scale-shot,799,780,90.0,physical,,Boosts the user's Speed and lowers their Defense by one stage after inflicting damage two to five times in a row.,25.0,20.0,0,Boosts the user's Speed and lowers their Defense by one stage after inflicting damage two to five times in a row.,selected-pokemon,dragon,dragon,15
dual-wingbeat,814,795,90.0,physical,,Inflicts regular damage with no additional effect.,40.0,10.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,flying,flying,3
scorching-sands,815,796,100.0,special,30.0,Inflicts regular damage with no additional effect.,70.0,10.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,ground,ground,4
ice-punch,8,7,100.0,physical,10.0,Has a 10% chance to freeze the target.,75.0,15.0,0,Has a 10% chance to freeze the target.,selected-pokemon,ice,ice,10
tail-whip,39,38,100.0,status,,Lowers the target's Defense by one stage.,,30.0,0,Lowers the target's Defense by one stage.,all-opponents,normal,normal,19
mist,54,53,,status,,Protects the user's stats from being changed by enemy moves.,,30.0,0,Protects the user's stats from being changed by enemy moves.,users-field,ice,ice,10
water-gun,55,54,100.0,special,,Inflicts regular damage with no additional effect.,40.0,25.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,water,water,12
hydro-pump,56,55,80.0,special,,Inflicts regular damage with no additional effect.,110.0,5.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,water,water,12
surf,57,56,100.0,special,,Inflicts regular damage and can hit Dive users.,90.0,15.0,0,Inflicts regular damage and can hit Dive users.,all-other-pokemon,water,water,12
ice-beam,58,57,100.0,special,10.0,Has a 10% chance to freeze the target.,90.0,10.0,0,Has a 10% chance to freeze the target.,selected-pokemon,ice,ice,10
blizzard,59,58,70.0,special,10.0,Does not interact with hail. Additionally; Has a 10% chance to freeze the target.,110.0,5.0,0,Has a 10% chance to freeze the target.,all-opponents,ice,ice,10
bubble-beam,61,60,100.0,special,10.0,Has a 10% chance to lower the target's Speed by one stage.,65.0,20.0,0,Has a 10% chance to lower the target's Speed by one stage.,selected-pokemon,water,water,12
confusion,93,92,100.0,special,10.0,Has a 10% chance to confuse the target.,50.0,25.0,0,Has a 10% chance to confuse the target.,selected-pokemon,psychic,psychic,8
withdraw,110,109,,status,,Raises the user's Defense by one stage.,,40.0,0,Raises the user's Defense by one stage.,user,water,water,12
haze,114,113,,status,,"Resets all Pokémon's stats, accuracy, and evasion.",,30.0,0,"Resets all Pokémon's stats, accuracy, and evasion.",entire-field,ice,ice,10
waterfall,127,126,100.0,physical,20.0,Has a 20% chance to make the target flinch.,80.0,15.0,0,Has a 20% chance to make the target flinch.,selected-pokemon,water,water,12
bubble,145,144,100.0,special,10.0,Has a 10% chance to lower the target's Speed by one stage.,40.0,30.0,0,Has a 10% chance to lower the target's Speed by one stage.,all-opponents,water,water,12
flail,175,174,100.0,physical,,"Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.",,15.0,0,"Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.",selected-pokemon,normal,normal,19
foresight,193,192,,status,,"Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it's a Ghost.",,40.0,0,"Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it's a Ghost.",selected-pokemon,normal,normal,19
icy-wind,196,195,95.0,special,100.0,Has a 100% chance to lower the target's Speed by one stage.,55.0,15.0,0,Has a 100% chance to lower the target's Speed by one stage.,all-opponents,ice,ice,10
rollout,205,204,90.0,physical,,"Power doubles every turn this move is used in succession after the first, resetting after five turns.",30.0,20.0,0,"Power doubles every turn this move is used in succession after the first, resetting after five turns.",selected-pokemon,rock,rock,11
rapid-spin,229,228,100.0,physical,100.0,"Frees the user from binding moves, removes Leech Seed, and blows away Spikes.",50.0,40.0,0,"Frees the user from binding moves, removes Leech Seed, and blows away Spikes.",selected-pokemon,normal,normal,19
rain-dance,240,239,,status,,Changes the weather to rain for five turns.,,5.0,0,Changes the weather to rain for five turns.,entire-field,water,water,12
mirror-coat,243,242,100.0,special,,Inflicts twice the damage the user received from the last special hit it took.,,20.0,-5,Inflicts twice the damage the user received from the last special hit it took.,specific-move,psychic,psychic,8
whirlpool,250,249,85.0,special,100.0,Prevents the target from leaving battle and inflicts 1/16 its max HP in damage for 2-5 turns.,35.0,15.0,0,Prevents the target from leaving battle and inflicts 1/16 its max HP in damage for 2-5 turns.,selected-pokemon,water,water,12
fake-out,252,251,100.0,physical,100.0,Can only be used as the first move after the user enters battle.  Causes the target to flinch.,40.0,10.0,3,Can only be used as the first move after the user enters battle.  Causes the target to flinch.,selected-pokemon,normal,normal,19
hail,258,257,,status,,Changes the weather to a hailstorm for five turns.,,10.0,0,Changes the weather to a hailstorm for five turns.,entire-field,ice,ice,10
follow-me,266,265,,status,,Redirects the target's single-target effects to the user for this turn.,,20.0,2,Redirects the target's single-target effects to the user for this turn.,user,normal,normal,19
yawn,281,280,,status,,Target sleeps at the end of the next turn.,,10.0,0,Target sleeps at the end of the next turn.,selected-pokemon,normal,normal,19
refresh,287,286,,status,,"Cleanses the user of a burn, paralysis, or poison.",,20.0,0,"Cleanses the user of a burn, paralysis, or poison.",user,normal,normal,19
dive,291,290,100.0,physical,,"User dives underwater, dodging all attacks, and hits next turn.",80.0,10.0,0,"User dives underwater, dodging all attacks, and hits next turn.",selected-pokemon,water,water,12
mud-sport,300,299,,status,,Halves all Electric-type damage.,,15.0,0,Halves all Electric-type damage.,entire-field,ground,ground,4
water-spout,323,322,100.0,special,,"Inflicts more damage when the user has more HP remaining, with a maximum of 150 power.",150.0,5.0,0,"Inflicts more damage when the user has more HP remaining, with a maximum of 150 power.",all-opponents,water,water,12
muddy-water,330,329,85.0,special,30.0,Has a 30% chance to lower the target's accuracy by one stage.,90.0,10.0,0,Has a 30% chance to lower the target's accuracy by one stage.,all-opponents,water,water,12
iron-defense,334,333,,status,,Raises the user's Defense by two stages.,,15.0,0,Raises the user's Defense by two stages.,user,steel,steel,9
mud-shot,341,340,95.0,special,100.0,Has a 100% chance to lower the target's Speed by one stage.,55.0,15.0,0,Has a 100% chance to lower the target's Speed by one stage.,selected-pokemon,ground,ground,4
water-pulse,352,351,100.0,special,20.0,Has a 20% chance to confuse the target.,60.0,20.0,0,Has a 20% chance to confuse the target.,selected-pokemon,water,water,12
gyro-ball,360,359,100.0,physical,,"Power raises when the user has lower Speed, up to a maximum of 150.",,5.0,0,"Power raises when the user has lower Speed, up to a maximum of 150.",selected-pokemon,steel,steel,9
brine,362,361,100.0,special,,Has double power against Pokémon that have less than half their max HP remaining.,65.0,10.0,0,Has double power against Pokémon that have less than half their max HP remaining.,selected-pokemon,water,water,12
aqua-ring,392,391,,status,,Restores 1/16 of the user's max HP each turn.,,20.0,0,Restores 1/16 of the user's max HP each turn.,user,water,water,12
aura-sphere,396,395,,special,,Hits Pokémon under the effects of dig and fly. Additionally; Never misses.,80.0,20.0,0,Never misses.,selected-pokemon,fighting,fighting,7
aqua-tail,401,400,90.0,physical,,Inflicts regular damage with no additional effect.,90.0,10.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,water,water,12
zen-headbutt,428,427,90.0,physical,20.0,Has a 20% chance to make the target flinch.,80.0,15.0,0,Has a 20% chance to make the target flinch.,selected-pokemon,psychic,psychic,8
aqua-jet,453,452,100.0,physical,,Inflicts regular damage with no additional effect.,40.0,20.0,1,Inflicts regular damage with no additional effect.,selected-pokemon,water,water,12
scald,503,502,100.0,special,30.0,Has a 30% chance to burn the target.,80.0,15.0,0,Has a 30% chance to burn the target.,selected-pokemon,water,water,12
shell-smash,504,503,,status,,"Raises user's Attack, Special Attack, and Speed by two stages.  Lower user's Defense and Special Defense by one stage.",,15.0,0,"Raises user's Attack, Special Attack, and Speed by two stages.  Lower user's Defense and Special Defense by one stage.",user,normal,normal,19
water-pledge,518,517,100.0,special,,"With Grass Pledge, halves opposing Pokémon's Speed for four turns.",80.0,10.0,0,"With Grass Pledge, halves opposing Pokémon's Speed for four turns.",selected-pokemon,water,water,12
liquidation,710,709,100.0,physical,20.0,Has a 20% chance to lower the target's Defense by one stage.,85.0,10.0,0,Has a 20% chance to lower the target's Defense by one stage.,selected-pokemon,water,water,12
flip-turn,812,793,100.0,physical,,Inflicts regular damage with no additional effect.,60.0,20.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,water,water,12
hydro-cannon,308,307,90.0,special,,User foregoes its next turn to recharge.,150.0,5.0,0,User foregoes its next turn to recharge.,selected-pokemon,water,water,12
signal-beam,324,323,100.0,special,10.0,Has a 10% chance to confuse the target.,75.0,15.0,0,Has a 10% chance to confuse the target.,selected-pokemon,bug,bug,18
dark-pulse,399,398,100.0,special,20.0,Has a 20% chance to make the target flinch.,80.0,15.0,0,Has a 20% chance to make the target flinch.,selected-pokemon,dark,dark,16
avalanche,419,418,100.0,physical,,Inflicts double damage if the user takes damage before attacking this turn.,60.0,10.0,-4,Inflicts double damage if the user takes damage before attacking this turn.,selected-pokemon,ice,ice,10
flash-cannon,430,429,100.0,special,10.0,Has a 10% chance to lower the target's Special Defense by one stage.,80.0,10.0,0,Has a 10% chance to lower the target's Special Defense by one stage.,selected-pokemon,steel,steel,9
smack-down,479,478,100.0,physical,100.0,Removes any immunity to Ground damage.,50.0,15.0,0,Removes any immunity to Ground damage.,selected-pokemon,rock,rock,11
bug-bite,450,449,100.0,physical,,"If target has a berry, inflicts double damage and uses the berry.",60.0,20.0,0,"If target has a berry, inflicts double damage and uses the berry.",selected-pokemon,bug,bug,18
electroweb,527,526,95.0,special,100.0,Lowers the target's Speed by one stage.,55.0,15.0,0,Lowers the target's Speed by one stage.,all-opponents,electric,electric,13
harden,106,105,,status,,Raises the user's Defense by one stage.,,30.0,0,Raises the user's Defense by one stage.,user,normal,normal,19
gust,16,15,100.0,special,,Does not hit Pokémon under the effects of fly. Additionally; Inflicts regular damage and can hit Pokémon in the air.,40.0,35.0,0,Inflicts regular damage and can hit Pokémon in the air.,selected-pokemon,flying,flying,3
whirlwind,18,17,,status,,Does nothing in trainer battles. Additionally; Immediately ends wild battles.  Forces trainers to switch Pokémon.,,20.0,-6,Immediately ends wild battles.  Forces trainers to switch Pokémon.,selected-pokemon,normal,normal,19
supersonic,48,47,55.0,status,,Confuses the target.,,20.0,0,Confuses the target.,selected-pokemon,normal,normal,19
psybeam,60,59,100.0,special,10.0,Has a 10% chance to confuse the target.,65.0,20.0,0,Has a 10% chance to confuse the target.,selected-pokemon,psychic,psychic,8
stun-spore,78,77,75.0,status,,Paralyzes the target.,,30.0,0,Paralyzes the target.,selected-pokemon,grass,grass,6
psychic,94,93,100.0,special,10.0,Has a 10% chance to lower the target's Special Defense by one stage.,90.0,10.0,0,Has a 10% chance to lower the target's Special Defense by one stage.,selected-pokemon,psychic,psychic,8
teleport,100,99,,status,,Immediately ends wild battles.  No effect otherwise.,,20.0,-6,Immediately ends wild battles.  No effect otherwise.,user,psychic,psychic,8
dream-eater,138,137,100.0,special,,Only works on sleeping Pokémon.  Drains half the damage inflicted to heal the user.,100.0,15.0,0,Only works on sleeping Pokémon.  Drains half the damage inflicted to heal the user.,selected-pokemon,psychic,psychic,8
psywave,149,148,100.0,special,,Inflicts damage between 50% and 150% of the user's level.,,15.0,0,Inflicts damage between 50% and 150% of the user's level.,selected-pokemon,psychic,psychic,8
thief,168,167,100.0,physical,,Takes the target's item.,60.0,25.0,0,Takes the target's item.,selected-pokemon,dark,dark,16
nightmare,171,170,100.0,status,,Target loses 1/4 its max HP every turn as long as it's asleep.,,15.0,0,Target loses 1/4 its max HP every turn as long as it's asleep.,selected-pokemon,ghost,ghost,17
baton-pass,226,225,,status,,Allows the trainer to switch out the user and pass effects along to its replacement.,,40.0,0,Allows the trainer to switch out the user and pass effects along to its replacement.,user,normal,normal,19
psych-up,244,243,,status,,Discards the user's stat changes and copies the target's.,,10.0,0,Discards the user's stat changes and copies the target's.,selected-pokemon,normal,normal,19
shadow-ball,247,246,100.0,special,20.0,Has a 20% chance to lower the target's Special Defense by one stage.,80.0,15.0,0,Has a 20% chance to lower the target's Special Defense by one stage.,selected-pokemon,ghost,ghost,17
skill-swap,285,284,,status,,User and target swap abilities.,,10.0,0,User and target swap abilities.,selected-pokemon,psychic,psychic,8
silver-wind,318,317,100.0,special,10.0,Has a 10% chance to raise all of the user's stats by one stage.,60.0,5.0,0,Has a 10% chance to raise all of the user's stats by one stage.,selected-pokemon,bug,bug,18
u-turn,369,368,100.0,physical,,User must switch out after attacking.,70.0,20.0,0,User must switch out after attacking.,selected-pokemon,bug,bug,18
bug-buzz,405,404,100.0,special,10.0,Has a 10% chance to lower the target's Special Defense by one stage.,90.0,10.0,0,Has a 10% chance to lower the target's Special Defense by one stage.,selected-pokemon,bug,bug,18
rage-powder,476,475,,status,,Redirects the target's single-target effects to the user for this turn.,,20.0,2,Redirects the target's single-target effects to the user for this turn.,user,bug,bug,18
quiver-dance,483,482,,status,,"Raises the user's Special Attack, Special Defense, and Speed by one stage each.",,20.0,0,"Raises the user's Special Attack, Special Defense, and Speed by one stage each.",user,bug,bug,18
struggle-bug,522,521,100.0,special,100.0,Has a 100% chance to lower the target's Special Attack by one stage.,50.0,20.0,0,Has a 100% chance to lower the target's Special Attack by one stage.,all-opponents,bug,bug,18
draining-kiss,577,576,100.0,special,,Drains 75% of the damage inflicted to heal the user.,50.0,10.0,0,Drains 75% of the damage inflicted to heal the user.,selected-pokemon,fairy,fairy,5
infestation,611,610,100.0,special,100.0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,20.0,20.0,0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,selected-pokemon,bug,bug,18
pollen-puff,676,675,100.0,special,,"Damages opponents, but heals allies for 50% of their max HP.",90.0,15.0,0,"Damages opponents, but heals allies for 50% of their max HP.",selected-pokemon,bug,bug,18
poison-sting,40,39,100.0,physical,30.0,Has a 30% chance to poison the target.,15.0,35.0,0,Has a 30% chance to poison the target.,selected-pokemon,poison,poison,1
fury-attack,31,30,85.0,physical,,Hits 2-5 times in one turn.,15.0,20.0,0,Hits 2-5 times in one turn.,selected-pokemon,normal,normal,19
twineedle,41,40,100.0,physical,20.0,Hits twice in the same turn.  Has a 20% chance to poison the target.,25.0,20.0,0,Hits twice in the same turn.  Has a 20% chance to poison the target.,selected-pokemon,bug,bug,18
pin-missile,42,41,95.0,physical,,Hits 2-5 times in one turn.,25.0,20.0,0,Hits 2-5 times in one turn.,selected-pokemon,bug,bug,18
peck,64,63,100.0,physical,,Inflicts regular damage with no additional effect.,35.0,35.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,flying,flying,3
agility,97,96,,status,,Raises the user's Speed by two stages.,,30.0,0,Raises the user's Speed by two stages.,user,psychic,psychic,8
focus-energy,116,115,,status,,Increases the user's chance to score a critical hit.,,30.0,0,Increases the user's chance to score a critical hit.,user,normal,normal,19
pursuit,228,227,100.0,physical,,"Has double power against, and can hit, Pokémon attempting to switch out.",40.0,20.0,0,"Has double power against, and can hit, Pokémon attempting to switch out.",selected-pokemon,dark,dark,16
endeavor,283,282,100.0,physical,,Lowers the target's HP to equal the user's.,,5.0,0,Lowers the target's HP to equal the user's.,selected-pokemon,normal,normal,19
payback,371,370,100.0,physical,,Power is doubled if the target has already moved this turn.,50.0,10.0,0,Power is doubled if the target has already moved this turn.,selected-pokemon,dark,dark,16
assurance,372,371,100.0,physical,,Power is doubled if the target has already received damage this turn.,60.0,10.0,0,Power is doubled if the target has already received damage this turn.,selected-pokemon,dark,dark,16
toxic-spikes,390,389,,status,,"Scatters poisoned spikes, poisoning opposing Pokémon that switch in.",,20.0,0,"Scatters poisoned spikes, poisoning opposing Pokémon that switch in.",opponents-field,poison,poison,1
x-scissor,404,403,100.0,physical,,Inflicts regular damage with no additional effect.,80.0,15.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,bug,bug,18
drill-run,529,528,95.0,physical,,Has an increased chance for a critical hit.,80.0,10.0,0,Has an increased chance for a critical hit.,selected-pokemon,ground,ground,4
fell-stinger,565,564,100.0,physical,,Raises the user's Attack by two stages if it KOs the target.,50.0,25.0,0,Raises the user's Attack by two stages if it KOs the target.,selected-pokemon,bug,bug,18
laser-focus,673,672,,status,,Guarantees a critical hit with the user's next move.,,30.0,0,Guarantees a critical hit with the user's next move.,user,normal,normal,19
throat-chop,675,674,100.0,physical,100.0,Prevents the target from using sound-based moves for two turns.,80.0,15.0,0,Prevents the target from using sound-based moves for two turns.,selected-pokemon,dark,dark,16
sand-attack,28,27,100.0,status,,Lowers the target's accuracy by one stage.,,15.0,0,Lowers the target's accuracy by one stage.,selected-pokemon,ground,ground,4
quick-attack,98,97,100.0,physical,,Inflicts regular damage with no additional effect.,40.0,30.0,1,Inflicts regular damage with no additional effect.,selected-pokemon,normal,normal,19
mirror-move,119,118,,status,,Uses the target's last used move.,,20.0,0,Uses the target's last used move.,selected-pokemon,flying,flying,3
sky-attack,143,142,90.0,physical,30.0,User charges for one turn before attacking.  Has a 30% chance to make the target flinch.,140.0,5.0,0,User charges for one turn before attacking.  Has a 30% chance to make the target flinch.,selected-pokemon,flying,flying,3
feint-attack,185,184,,physical,,Hits Pokémon under the effects of dig and fly. Additionally; Never misses.,60.0,20.0,0,Never misses.,selected-pokemon,dark,dark,16
detect,197,196,,status,,Prevents any moves from hitting the user this turn.,,5.0,4,Prevents any moves from hitting the user this turn.,user,fighting,fighting,7
uproar,253,252,100.0,special,,Forced to use this move for several turns.  Pokémon cannot fall asleep in that time.,90.0,10.0,0,Forced to use this move for several turns.  Pokémon cannot fall asleep in that time.,random-opponent,normal,normal,19
feather-dance,297,296,100.0,status,,Lowers the target's Attack by two stages.,,15.0,0,Lowers the target's Attack by two stages.,selected-pokemon,flying,flying,3
pluck,365,364,100.0,physical,,"If target has a berry, inflicts double damage and uses the berry.",60.0,20.0,0,"If target has a berry, inflicts double damage and uses the berry.",selected-pokemon,flying,flying,3
brave-bird,413,412,100.0,physical,,User receives 1/3 the damage inflicted in recoil.,120.0,15.0,0,User receives 1/3 the damage inflicted in recoil.,selected-pokemon,flying,flying,3
thunderbolt,85,84,100.0,special,10.0,Has a 10% chance to paralyze the target.,90.0,15.0,0,Has a 10% chance to paralyze the target.,selected-pokemon,electric,electric,13
thunder-wave,86,85,90.0,status,,Paralyzes the target.,,20.0,0,Paralyzes the target.,selected-pokemon,electric,electric,13
thunder,87,86,70.0,special,30.0,Does not hit Pokémon under the effects of fly. Additionally; Has a 30% chance to paralyze the target.,110.0,10.0,0,Has a 30% chance to paralyze the target.,selected-pokemon,electric,electric,13
screech,103,102,85.0,status,,Lowers the target's Defense by two stages.,,40.0,0,Lowers the target's Defense by two stages.,selected-pokemon,normal,normal,19
hyper-fang,158,157,90.0,physical,10.0,Has a 10% chance to make the target flinch.,80.0,15.0,0,Has a 10% chance to make the target flinch.,selected-pokemon,normal,normal,19
super-fang,162,161,90.0,physical,,Inflicts damage equal to half the target's HP.,,10.0,0,Inflicts damage equal to half the target's HP.,selected-pokemon,normal,normal,19
flame-wheel,172,171,100.0,physical,10.0,Has a 10% chance to burn the target.  Lets frozen Pokémon thaw themselves.,60.0,25.0,0,Has a 10% chance to burn the target.  Lets frozen Pokémon thaw themselves.,selected-pokemon,fire,fire,14
reversal,179,178,100.0,physical,,"Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.",,15.0,0,"Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.",selected-pokemon,fighting,fighting,7
taunt,269,268,100.0,status,,"For the next few turns, the target can only use damaging moves.",,20.0,0,"For the next few turns, the target can only use damaging moves.",selected-pokemon,dark,dark,16
revenge,279,278,100.0,physical,,Inflicts double damage if the user takes damage before attacking this turn.,60.0,10.0,-4,Inflicts double damage if the user takes damage before attacking this turn.,selected-pokemon,fighting,fighting,7
covet,343,342,100.0,physical,,Takes the target's item.,60.0,25.0,0,Takes the target's item.,selected-pokemon,normal,normal,19
shock-wave,351,350,,special,,Hits Pokémon under the effects of dig and fly. Additionally; Never misses.,60.0,20.0,0,Never misses.,selected-pokemon,electric,electric,13
me-first,382,381,,status,,"Uses the target's move against it before it attacks, with power increased by half.",,20.0,0,"Uses the target's move against it before it attacks, with power increased by half.",selected-pokemon-me-first,normal,normal,19
last-resort,387,386,100.0,physical,,Can only be used after all of the user's other moves have been used.,140.0,5.0,0,Can only be used after all of the user's other moves have been used.,selected-pokemon,normal,normal,19
sucker-punch,389,388,100.0,physical,,Only works if the target is about to use a damaging move.,70.0,5.0,1,Only works if the target is about to use a damaging move.,selected-pokemon,dark,dark,16
charge-beam,451,450,90.0,special,70.0,Has a 70% chance to raise the user's Special Attack by one stage.,50.0,10.0,0,Has a 70% chance to raise the user's Special Attack by one stage.,selected-pokemon,electric,electric,13
retaliate,514,513,100.0,physical,,Has double power if a friendly Pokémon fainted last turn.,70.0,5.0,0,Has double power if a friendly Pokémon fainted last turn.,selected-pokemon,normal,normal,19
final-gambit,515,514,100.0,special,,Inflicts damage equal to the user's remaining HP.  User faints.,,5.0,0,Inflicts damage equal to the user's remaining HP.  User faints.,selected-pokemon,fighting,fighting,7
wild-charge,528,527,100.0,physical,,User receives 1/4 the damage it inflicts in recoil.,90.0,15.0,0,User receives 1/4 the damage it inflicts in recoil.,selected-pokemon,electric,electric,13
drill-peck,65,64,100.0,physical,,Inflicts regular damage with no additional effect.,80.0,20.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,flying,flying,3
tri-attack,161,160,100.0,special,20.0,"Has a 20% chance to burn, freeze, or paralyze the target.",80.0,10.0,0,"Has a 20% chance to burn, freeze, or paralyze the target.",selected-pokemon,normal,normal,19
astonish,310,309,100.0,physical,30.0,Has a 30% chance to make the target flinch.,30.0,15.0,0,Has a 30% chance to make the target flinch.,selected-pokemon,ghost,ghost,17
slam,21,20,75.0,physical,,Inflicts regular damage with no additional effect.,80.0,20.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,normal,normal,19
wrap,35,34,90.0,physical,100.0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,15.0,20.0,0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,selected-pokemon,normal,normal,19
disable,50,49,100.0,status,,Disables the target's last used move for 1-8 turns.,,20.0,0,Disables the target's last used move for 1-8 turns.,selected-pokemon,normal,normal,19
acid,51,50,100.0,special,10.0,Has a 10% chance to lower the target's Special Defense by one stage.,40.0,30.0,0,Has a 10% chance to lower the target's Special Defense by one stage.,all-opponents,poison,poison,1
glare,137,136,100.0,status,,Paralyzes the target.,,30.0,0,Paralyzes the target.,selected-pokemon,normal,normal,19
leech-life,141,140,100.0,physical,,Drains half the damage inflicted to heal the user.,80.0,10.0,0,Drains half the damage inflicted to heal the user.,selected-pokemon,bug,bug,18
spite,180,179,100.0,status,,Lowers the PP of the target's last used move by 4.,,10.0,0,Lowers the PP of the target's last used move by 4.,selected-pokemon,ghost,ghost,17
stockpile,254,253,,status,,Does not raise Defense or Special Defense. Additionally; Stores energy up to three times for use with Spit Up and Swallow.,,20.0,0,Stores energy up to three times for use with Spit Up and Swallow.,user,normal,normal,19
spit-up,255,254,100.0,special,,Power is 100 times the amount of energy Stockpiled.,,10.0,0,Power is 100 times the amount of energy Stockpiled.,selected-pokemon,normal,normal,19
swallow,256,255,,status,,"Recovers 1/4 HP after one Stockpile, 1/2 HP after two Stockpiles, or full HP after three Stockpiles.",,10.0,0,"Recovers 1/4 HP after one Stockpile, 1/2 HP after two Stockpiles, or full HP after three Stockpiles.",user,normal,normal,19
torment,259,258,100.0,status,,Prevents the target from using the same move twice in a row.,,15.0,0,Prevents the target from using the same move twice in a row.,selected-pokemon,dark,dark,16
snatch,289,288,,status,,"Steals the target's move, if it's self-targeted.",,10.0,4,"Steals the target's move, if it's self-targeted.",user,dark,dark,16
poison-fang,305,304,100.0,physical,50.0,Has a 50% chance to badly poison the target.,50.0,15.0,0,Has a 50% chance to badly poison the target.,selected-pokemon,poison,poison,1
poison-tail,342,341,100.0,physical,10.0,Has an increased chance for a critical hit and a 10% chance to poison the target.,50.0,25.0,0,Has an increased chance for a critical hit and a 10% chance to poison the target.,selected-pokemon,poison,poison,1
gastro-acid,380,379,100.0,status,,Nullifies target's ability until it leaves battle.,,10.0,0,Nullifies target's ability until it leaves battle.,selected-pokemon,poison,poison,1
switcheroo,415,414,100.0,status,,User and target swap items.,,10.0,0,User and target swap items.,selected-pokemon,dark,dark,16
mud-bomb,426,425,85.0,special,30.0,Has a 30% chance to lower the target's accuracy by one stage.,65.0,10.0,0,Has a 30% chance to lower the target's accuracy by one stage.,selected-pokemon,ground,ground,4
gunk-shot,441,440,80.0,physical,30.0,Has a 30% chance to poison the target.,120.0,5.0,0,Has a 30% chance to poison the target.,selected-pokemon,poison,poison,1
sludge-wave,482,481,100.0,special,10.0,Has a 10% chance to poison the target.,95.0,10.0,0,Has a 10% chance to poison the target.,all-other-pokemon,poison,poison,1
coil,489,488,,status,,"Raises the user's Attack, Defense, and accuracy by one stage each.",,20.0,0,"Raises the user's Attack, Defense, and accuracy by one stage each.",user,poison,poison,1
snarl,555,554,95.0,special,100.0,Has a 100% chance to lower the target's Special Attack by one stage.,55.0,15.0,0,Has a 100% chance to lower the target's Special Attack by one stage.,all-opponents,dark,dark,16
belch,562,561,90.0,special,,Can only be used after the user has eaten a berry.,120.0,10.0,0,Can only be used after the user has eaten a berry.,selected-pokemon,poison,poison,1
psychic-fangs,706,705,100.0,physical,,The barriers are destroyed even if this move has no effect. Additionally; Destroys Reflect and Light Screen.,85.0,10.0,0,Destroys Reflect and Light Screen.,selected-pokemon,psychic,psychic,8
skitter-smack,806,787,90.0,physical,100.0,Inflicts regular damage with no additional effect.,70.0,10.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,bug,bug,18
lash-out,808,789,100.0,physical,,Inflicts regular damage with no additional effect.,75.0,5.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,dark,dark,16
pain-split,220,219,,status,,Sets the user's and targets's HP to the average of their current HP.,,20.0,0,Sets the user's and targets's HP to the average of their current HP.,selected-pokemon,normal,normal,19
thunder-fang,422,421,95.0,physical,10.0,Has a 10% chance to paralyze the target and a 10% chance to make the target flinch.,65.0,15.0,0,Has a 10% chance to paralyze the target and a 10% chance to make the target flinch.,selected-pokemon,electric,electric,13
