ability_name,ability_effect,ability_id
flower-gift,"Friendly Pokémon have 1.5× their Attack and Special Defense during strong sunlight if any friendly Pokémon has this ability.

Unlike forecast, multitype, and zen mode, this ability is not tied to its Pokémon's form change; cherrim will switch between its forms even if it loses this ability.  As such, this ability also works if obtained by a Pokémon other than Cherrim.",78.0
bad-dreams,Opposing Pokémon take 1/8 of their maximum HP in damage after each turn while they are asleep.,90.0
pickpocket,"Whenever a move makes contact with this Pokémon, if it does not have a held item, it steals the attacker's held item.

This Pokémon cannot steal upon being knocked out.  It can steal if the attacker has a substitute, but cannot steal when its own Substitute is hit.  If a move hits multiple times, only the last hit triggers this ability.  If this Pokémon is wild, it cannot steal from a trained Pokémon.",257.0
sheer-force,"This Pokémon's moves with extra effects have 1.3× their power, but lose their extra effects.

An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.

Moves that lower the user's stats are unaffected.",101.0
contrary,"Whenever this Pokémon's stats would be raised, they are instead lowered by the same amount, and vice versa.",125.0
unnerve,"Opposing Pokémon cannot eat held Berries while this Pokémon is in battle.

Affected Pokémon can still use bug bite or pluck to eat a target's Berry.",188.0
defiant,"When any of this Pokémon's stats are lowered, its Attack rises by two stages.

If multiple stats are lowered at once, this ability takes effect with each stat lowered.",113.0
defeatist,This Pokémon's Attack and Special Attack are halved when it has half its HP or less.,105.0
cursed-body,Moves that hit this Pokémon have a 30% chance of being Disabled afterward.,34.0
healer,Friendly Pokémon next to this Pokémon in double and triple battles each have a 30% chance of being cured of any major status ailment after each turn.,98.0
friend-guard,"All friendly Pokémon take 0.75× as much direct damage from moves while this Pokémon is in battle.

This effect stacks if multiple allied Pokémon have it.",191.0
weak-armor,"Whenever a physical move hits this Pokémon, its Speed rises one stage and its Defense falls one stage.

This ability triggers on every hit of a multiple-hit move.",174.0
heavy-metal,This Pokémon has double the usual weight for its species.,255.0
light-metal,This Pokémon has half the usual weight for its species.,180.0
multiscale,This Pokémon takes half as much damage when it is hit having full HP.,263.0
toxic-boost,This Pokémon has 1.5× its Attack when poisoned.,266.0
flare-boost,This Pokémon has 1.5× its Special Attack when burned.,268.0
harvest,"After each turn, if the last item this Pokémon consumed was a Berry and it is not currently holding an item, it has a 50% chance of regaining that Berry, or a 100% chance during strong sunlight.",261.0
telepathy,"This Pokémon does not take damage from friendly Pokémon's moves, including single-target moves aimed at it.",111.0
moody,"After each turn, one of this Pokémon's stats at random rises two stages, and another falls one stage.

If a stat is already at 6 or -6 stages, it will not be chosen to be increased or decreased, respectively.",265.0
overcoat,This Pokémon does not take damage from weather.,108.0
poison-touch,"This Pokémon's contact moves have a 30% chance of poisoning the target with each hit.

This counts as an extra effect for the purposes of shield dust.  This ability takes effect before mummy.",248.0
regenerator,"This Pokémon regains 1/3 of its maximum HP when it is switched out for another Pokémon under any circumstances other than having fainted.

This ability does not take effect when a battle ends.",247.0
big-pecks,"This Pokémon's Defense cannot be lowered by other Pokémon.

This Pokémon can still be passed negative Defense modifiers through heart swap or guard swap.",95.0
sand-rush,"This Pokémon's Speed is doubled during a sandstorm, and it does not take sandstorm damage, regardless of type.",97.0
wonder-skin,Non-damaging moves have exactly 50% base accuracy against this Pokémon.,102.0
analytic,"This Pokémon's moves have 1.3× their power when it moves last in a turn.

future sight and doom desire are unaffected.",260.0
illusion,"This Pokémon, upon being sent out, appears to have the species, nickname, and Poké Ball of the last Pokémon in the party that is able to battle.  This illusion breaks upon being hit by a damaging move.

Other damage, e.g. from weather or spikes, does not break the illusion, nor does damage done to a substitute.

If the party order becomes temporarily shuffled around as Pokémon are switched out in battle, this ability chooses the last Pokémon according to that shuffled order.",106.0
imposter,This Pokémon transforms into a random opponent upon entering battle.  This effect is identical to the move transform.,262.0
infiltrator,"This Pokémon's moves ignore light screen, reflect, and safeguard.",249.0
mummy,"Whenever a contact move hits this Pokémon, the attacking Pokémon's ability changes to Mummy.

multitype is unaffected.  If a Pokémon with moxie knocks this Pokémon out, the former's ability will change without taking effect.",103.0
moxie,"This Pokémon's Attack rises one stage upon knocking out another Pokémon, even a friendly Pokémon.

This ability does not take effect when the Pokémon indirectly causes another Pokémon to faint, e.g. through poison or spikes.

If this Pokémon knocks out a Pokémon with mummy, the former's ability will change without taking effect.",250.0
justified,"Whenever a dark-type move hits this Pokémon, its Attack rises one stage.

The move is not negated in any way.",114.0
rattled,"This Pokémon's Speed rises one stage with each hit from a damaging dark-, ghost-, or bug-type move.",172.0
magic-bounce,"When this Pokémon is targeted by a move flagged as being reflectable, the move is redirected to its user.

All reflectable moves are non-damaging, and most non-damaging moves that target other Pokémon are reflectable.

A move reflected by this ability or magic coat cannot be reflected back.",264.0
sap-sipper,"Whenever a grass-type move hits this Pokémon, its Attack rises one stage, negating any other effect on it.",120.0
prankster,This Pokémon's non-damaging moves have their priority increased by one stage.,99.0
sand-force,"During a sandstorm, this Pokémon's rock-, ground-, and steel-type moves have 1.3× their base power.  This Pokémon does not take sandstorm damage, regardless of type.",117.0
iron-barbs,"Whenever a move makes contact with this Pokémon, the move's user takes 1/8 of its maximum HP in damage.

This ability functions identically to rough skin.",110.0
zen-mode,"This Pokémon switches between Standard Mode and Zen Mode after each turn depending on its HP.  Below 50% of its maximum HP, it switches to Zen Mode, and at 50% or above, it switches to Standard Mode.

This Pokémon returns to Standard Mode upon leaving battle or losing this ability.  This ability has no effect if this Pokémon is not a darmanitan.",269.0
victory-star,"All friendly Pokémon's moves, including this Pokémon's own moves, have 1.1× their usual accuracy while this Pokémon is in battle.",92.0
turboblaze,"This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.

For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.

Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.

An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

This ability functions identically to mold breaker and teravolt.",115.0
teravolt,"This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.

For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.

Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.

An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

This ability functions identically to mold breaker and turboblaze.",116.0
aroma-veil,Protects allies against moves that affect their mental state.,189.0
flower-veil,Protects friendly grass Pokémon from having their stats lowered by other Pokémon.,119.0
cheek-pouch,"Restores HP upon eating a Berry, in addition to the Berry's effect.",131.0
protean,"Changes the bearer's type to match each move it uses.

The type change takes place just before the move is used.",267.0
fur-coat,Halves damage from physical attacks.,121.0
magician,Steals the target's held item when the bearer uses a damaging move.,135.0
bulletproof,"Protects against bullet, ball, and bomb-based moves.",156.0
competitive,Raises Special Attack by two stages upon having any stat lowered.,226.0
strong-jaw,Strengthens biting moves to 1.5× their power.,129.0
refrigerate,Turns the bearer's normal-type moves into ice-type moves.  Moves changed by this ability have 1.3× their power.,130.0
sweet-veil,Prevents friendly Pokémon from sleeping.,124.0
stance-change,"Changes aegislash to Blade Forme before using a damaging move, or Shield Forme before using kings shield.",123.0
gale-wings,Raises flying moves' priority by one stage.,270.0
mega-launcher,Strengthens aura and pulse moves to 1.5× their power.,127.0
grass-pelt,Boosts Defense while grassy terrain is in effect.,272.0
symbiosis,Passes the bearer's held item to an ally when the ally uses up its item.,271.0
tough-claws,Strengthens moves that make contact to 1.33× their power.,126.0
pixilate,Turns the bearer's normal-type moves into fairy moves.  Moves changed by this ability have 1.3× their power.,273.0
gooey,Lowers attacking Pokémon's Speed by one stage on contact.,202.0
aerilate,Turns the bearer's normal-type moves into flying-type moves.  Moves changed by this ability have 1.3× their power.,
parental-bond,Lets the bearer hit twice with damaging moves.  The second hit has half power.,
dark-aura,Strengthens dark moves for all friendly and opposing Pokémon.,133.0
fairy-aura,Strengthens fairy moves for all friendly and opposing Pokémon.,132.0
aura-break,"While this Pokémon is on the field, dark aura and fairy aura weaken moves of their respective types to 2/3 their power, rather than strengthening them.",134.0
primordial-sea,"When this Pokémon enters battle or gains this ability, the weather becomes heavy rain.  Heavy rain has all the properties of rain dance and also causes damaging Fire moves to fail.

Heavy rain ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of delta stream and desolate land.

air lock and cloud nine will prevent the effects of heavy rain, including allowing Fire moves to work, but will not allow the weather to be changed.",
desolate-land,"When this Pokémon enters battle or gains this ability, the weather becomes extremely harsh sunlight.  Extremely harsh sunlight has all the properties of sunny day and also causes damaging Water moves to fail.

Extremely harsh sunlight ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of delta stream and primordial sea.

air lock and cloud nine will prevent the effects of extremely harsh sunlight, including allowing Water moves to work, but will not allow the weather to be changed.",
delta-stream,"When this Pokémon enters battle or gains this ability, the weather becomes a mysterious air current.  A mysterious air current causes moves to not be super effective against Flying; they do neutral damage instead.  anticipation and stealth rock are not affected.

The mysterious air current ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of desolate land and primordial sea.

air lock and cloud nine will prevent the effect of a mysterious air current, but will not allow the weather to be changed.",
stamina,Raises this Pokémon's Defense by one stage when it takes damage from a move.,222.0
wimp-out,"After this Pokémon is hit by a move, if that move caused this Pokémon's HP to drop below half, it switches out.",145.0
emergency-exit,"After this Pokémon is hit by a move, if that move caused this Pokémon's HP to drop below half, it switches out.",146.0
water-compaction,Raises this Pokémon's Defense by two stages when it's hit by a Water move.,147.0
merciless,This Pokémon's moves critical hit against poisoned targets.,140.0
shields-down,"When this Pokémon enters battle and at the end of each turn, if its HP is 50% or above, it changes into Meteor Form; otherwise, it changes into Core Form.  In Meteor Form, it cannot be given a major status ailment (though existing ones are not cured), cannot become drowsy from yawn, and cannot use rest (which will simply fail).

This ability cannot be copied, replaced, or nullified.  This ability only takes effect for Minior.",150.0
stakeout,This Pokémon's moves have double power against Pokémon that switched in this turn.,136.0
water-bubble,"When this Pokémon is hit by a Fire move, the damage is halved.  When this Pokémon uses a Water move, the power is doubled. This Pokémon cannot be burned, and if it becomes burned, the burn is immediately cured.",141.0
steelworker,This Pokémon's Steel moves have 1.5× power.,155.0
berserk,"Whenever this Pokémon takes damage from a move that causes its HP to drop below 50%, its Special Attack rises by one stage.",154.0
slush-rush,"During Hail, this Pokémon has double Speed.",251.0
long-reach,A move used by this Pokémon will not make contact.,274.0
liquid-voice,"When this Pokémon uses a move that is sound-based, that move's type is Water.",275.0
triage,This Pokémon's healing moves have their priority increased by 3.,253.0
galvanize,"When this Pokémon uses a Normal moves, that move is Electric its power is 1.2×.",
surge-surfer,Doubles this Pokémon's Speed on Electric Terrain.,
schooling,"If this Pokémon is a wishiwashi and level 20 or above, then when it enters battle and at the start of each turn, it becomes Schooling Form if its HP is 25% or higher and Solo Form otherwise.

This ability cannot be replaced, copied, or nullified.",139.0
disguise,"If this Pokémon is in its Disguised Form and takes damage from a move, it switches to its Busted Form and the damage is prevented.  Other effects are not prevented.

This ability cannot be copied or replaced.  This ability only takes effect for Mimikyu.",152.0
battle-bond,"Transforms this Pokémon into Ash-Greninja after fainting an opponent.  Water Shuriken's power is 20 and always hits three times.

This ability cannot be copied or replaced.  This ability only takes effect for Greninja.",
power-construct,"Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50%.

This ability cannot be copied or replaced.  This ability only takes effect for Zygarde.",
corrosion,This Pokémon's moves and item ignore the usual immunity of Poison and Steel Pokémon when attempting to inflict poison.,142.0
comatose,This Pokémon always acts as though it were Asleep.  It cannot be given another status ailment; it's unaffected by yawn; it can use sleep talk; and so on.,151.0
queenly-majesty,"When an opposing Pokémon attempts to use a move that targets this Pokémon or an ally, and that move has priority, it will fail.",252.0
innards-out,"When this Pokémon faints from an opponent's move, that opponent takes damage equal to the HP this Pokémon had remaining.",148.0
dancer,"Whenever another Pokémon uses a dance move, this Pokémon will use the same move immediately afterwards.",138.0
battery,Ally Pokémon's moves have their power increased to 1.3×.,137.0
fluffy,Damage from contact moves is halved.  Damage from Fire moves is doubled.,143.0
dazzling,"When an opposing Pokémon attempts to use a move that targets this Pokémon or an ally, and that move has priority, it will fail.",153.0
soul-heart,This Pokémon's Special Attack rises by one stage every time any Pokémon faints.,165.0
tangling-hair,"When this Pokémon takes regular damage from a contact move, the attacking Pokémon's Speed lowers by one stage.",
receiver,"When an ally faints, this Pokémon gains its Ability.",144.0
power-of-alchemy,"When an ally faints, this Pokémon gains its Ability.",
beast-boost,Raises this Pokémon's highest stat by one stage when it faints another Pokémon.,163.0
rks-system,"Changes this Pokémon's type to match its held Memory.

This ability cannot be copied, replaced, or nullified.  This ability only takes effect for Silvally.",149.0
electric-surge,"When this Pokémon enters battle, it changes the terrain to electric terrain.",157.0
psychic-surge,"When this Pokémon enters battle, it changes the terrain to psychic terrain.",158.0
misty-surge,"When this Pokémon enters battle, it changes the terrain to misty terrain.",160.0
grassy-surge,"When this Pokémon enters battle, it changes the terrain to grassy terrain.",159.0
full-metal-body,"This Pokémon's stats cannot be lowered by other Pokémon's moves or abilities.  This effect only applies to normal stat modifications and not more exotic effects such as topsy turvy or power swap.

This Ability is not bypassed by mold breaker, teravolt, or turboblaze.",161.0
shadow-shield,"When this Pokémon has full HP, regular damage (not fixed damage!) from moves is halved.

This ability cannot be nullified.",162.0
prism-armor,"Super-effective damage this Pokémon takes is reduced to 0.75×.

This Ability is not bypassed by mold breaker, teravolt, or turboblaze.",164.0
neuroforce,Increases super-effective damage dealt to 1.25×.,
intrepid-sword,"Boosts the Pokémon’s Attack stat when the Pokémon
enters a battle.",181.0
dauntless-shield,"Boosts the Pokémon’s Defense stat when the Pokémon
enters a battle.",182.0
libero,"Changes the Pokémon’s type to the type of the
move it’s about to use.",276.0
ball-fetch,"If the Pokémon is not holding an item, it will fetch
the Poké Ball from the first failed throw
of the battle.",167.0
cotton-down,"When the Pokémon is hit by an attack, it scatters
cotton fluff around and lowers the Speed stat of
all Pokémon except itself.",166.0
propeller-tail,"Ignores the effects of opposing Pokémon’s Abilities and
moves that draw in moves.",278.0
mirror-armor,"Bounces back only the stat-lowering effects that
the Pokémon receives.",277.0
gulp-missile,"When the Pokémon uses Surf or Dive, it will come back
with prey. When it takes damage, it will spit out the prey
to attack.",171.0
stalwart,"Ignores the effects of opposing Pokémon’s Abilities and
moves that draw in moves.",282.0
steam-engine,"Boosts the Pokémon’s Speed stat drastically if hit by a
Fire- or Water-type move.",168.0
punk-rock,"Boosts the power of sound-based moves.
The Pokémon also takes half the damage from
these kinds of moves.",173.0
sand-spit,"The Pokémon creates a sandstorm when it’s hit by
an attack.",170.0
ice-scales,"The Pokémon is protected by ice scales, which halve
the damage taken from special moves.",281.0
ripen,Ripens Berries and doubles their effect.,169.0
ice-face,"The Pokémon’s ice head can take a physical attack as
a substitute, but the attack also changes the Pokémon’s
appearance. The ice will be restored when it hails.",178.0
power-spot,Just being next to the Pokémon powers up moves.,177.0
mimicry,Changes the Pokémon’s type depending on the terrain.,
screen-cleaner,"When the Pokémon enters a battle, the effects of
Light Screen, Reflect, and Aurora Veil are nullified for
both opposing and ally Pokémon.",254.0
steely-spirit,Powers up ally Pokémon’s Steel-type moves.,279.0
perish-body,"When hit by a move that makes direct contact,
the Pokémon and the attacker will faint after three turns
unless they switch out of battle.",280.0
wandering-spirit,"The Pokémon exchanges Abilities with a Pokémon
that hits it with a move that makes direct contact.",176.0
gorilla-tactics,"Boosts the Pokémon’s Attack stat but only allows
the use of the first selected move.",
neutralizing-gas,"If the Pokémon with Neutralizing Gas is in the battle,
the effects of all Pokémon’s Abilities will be nullified
or will not be triggered.",232.0
pastel-veil,"Protects the Pokémon and its ally Pokémon from
being poisoned.",
hunger-switch,"The Pokémon changes its form, alternating between
its Full Belly Mode and Hangry Mode after the end of
each turn.",179.0
quick-draw,Enables the Pokémon to move first occasionally.,
unseen-fist,"If the Pokémon uses moves that make direct contact,
it can attack the target even if the target protects itself.",183.0
curious-medicine,"When the Pokémon enters a battle, it scatters medicine
from its shell, which removes all stat changes
from allies.",
transistor,Powers up Electric-type moves.,184.0
dragons-maw,Powers up Dragon-type moves.,185.0
chilling-neigh,"When the Pokémon knocks out a target, it utters a
chilling neigh, which boosts its Attack stat.",186.0
grim-neigh,"When the Pokémon knocks out a target, it utters a
terrifying neigh, which boosts its Sp. Atk stat.",187.0
as-one-glastrier,"This Ability combines the effects of both Calyrex’s
Unnerve Ability and Glastrier’s Chilling Neigh Ability.",
as-one-spectrier,"This Ability combines the effects of both Calyrex’s
Unnerve Ability and Spectrier’s Grim Neigh Ability.",
lingering-aroma,Contact with the Pokémon changes the attacker's Ability to Lingering Aroma.,190.0
seed-sower,Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.,193.0
thermal-exchange,Boosts the Attack stat when the Pokémon is hit by a Fire-type move. The Pokémon also cannot be burned.,211.0
anger-shell,"When an attack causes its HP to drop to half or less, the Pokémon gets angry. This lowers its Defense and Sp. Def stats but boosts its Attack, Sp. Atk, and Speed stats.",200.0
purifying-salt,The Pokémon's pure salt protects it from status conditions and halves the damage taken from Ghost-type moves.,194.0
well-baked-body,"The Pokémon takes no damage when hit by Fire-type moves. Instead, its Defense stat is sharply boosted.",192.0
wind-rider,Boosts the Pokémon's Attack stat if Tailwind takes effect or if the Pokémon is hit by a wind move. The Pokémon also takes no damage from wind moves.,198.0
guard-dog,Boosts the Pokémon’s Attack stat if intimidated. Moves and items that would force the Pokémon to switch out also fail to work.,256.0
rocky-payload,Powers up Rock-type moves.,283.0
wind-power,"The Pokémon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokémon uses.",196.0
zero-to-hero,The Pokémon transforms into its Hero Form when it switches out.,203.0
commander,"When the Pokémon enters a battle, it goes inside the mouth of an ally Dondozo if one is on the field. The Pokémon then issues commands from there.",207.0
electromorphosis,"The Pokémon becomes charged when it takes damage, boosting the power of the next Electric-type move the Pokémon uses.",195.0
protosynthesis,Boosts the Pokémon's most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.,209.0
quark-drive,Boosts the Pokémon's most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.,210.0
good-as-gold,"A body of pure, solid gold gives the Pokémon full immunity to other Pokémon's status moves.",212.0
vessel-of-ruin,The power of the Pokémon's ruinous vessel lowers the Sp. Atk stats of all Pokémon except itself.,215.0
sword-of-ruin,The power of the Pokémon's ruinous sword lowers the Defense stats of all Pokémon except itself.,214.0
tablets-of-ruin,The power of the Pokémon's ruinous wooden tablets lowers the Attack stats of all Pokémon except itself.,213.0
beads-of-ruin,The power of the Pokémon's ruinous beads lowers the Sp. Def stats of all Pokémon except itself.,216.0
orichalcum-pulse,Turns the sunlight harsh when the Pokémon enters a battle. The ancient pulse thrumming through the Pokémon also boosts its Attack stat in harsh sunlight.,217.0
hadron-engine,Turns the ground into Electric Terrain when the Pokémon enters a battle. The futuristic engine within the Pokémon also boosts its Sp. Atk stat on Electric Terrain.,218.0
opportunist,"If an opponent's stat is boosted, the Pokémon seizes the opportunity to boost the same stat for itself.",201.0
cud-chew,"When the Pokémon eats a Berry, it will regurgitate that Berry at the end of the next turn and eat it one more time.",208.0
sharpness,Powers up slicing moves.,246.0
supreme-overlord,"When the Pokémon enters a battle, its Attack and Sp. Atk stats are slightly boosted for each of the allies in its party that have already been defeated.",259.0
costar,"When the Pokémon enters a battle, it copies an ally's stat changes.",284.0
toxic-debris,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.,205.0
armor-tail,The mysterious tail covering the Pokémon's head makes opponents unable to use priority moves against the Pokémon or its allies.,258.0
earth-eater,"If hit by a Ground-type move, the Pokémon has its HP restored instead of taking damage.",204.0
mycelium-might,"The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target.",199.0
minds-eye,"The Pokémon ignores changes to opponents' evasiveness, its accuracy can't be lowered, and it can hit Ghost types with Normal-type and Fighting-type moves",
supersweet-syrup,Lowers the evasion of opposing Pokémon by 1 stage when first sent into battle,219.0
hospitality,"When the Pokémon enters a battle, it showers its ally with hospitality, restoring a small amount of the ally's HP",220.0
toxic-chain,The power of the Pokémon's toxic chain may badly poison any target the Pokémon hits with a move,221.0
embody-aspect,"The Pokémon's heart fills with memories, causing the Mask to shine and one of the Pokémon's stats to be boosted.",
tera-shift,"When the Pokémon enters a battle, it absorbs the energy around itself and transforms into its Terastal Form.",223.0
tera-shell,The Pokémon's shell contains the powers of each type. All damage-dealing moves that hit the Pokémon when its HP is full will not be very effective.,
teraform-zero,"When Terapagos changes into its Stellar Form, it uses its hidden powers to eliminate all effects of weather and terrain, reducing them to zero.",
poison-puppeteer,Pokémon poisoned by Pecharunt's moves will also become confused.,
